model,accent_group,noise_condition,wer,cer
wav2vec2-base-960h,german,clean,0.26,0.118
wav2vec2-base-960h,german,snr0,0.985,0.858
wav2vec2-base-960h,german,snr10,0.574,0.34
wav2vec2-base-960h,india,clean,0.496,0.281
wav2vec2-base-960h,india,snr0,0.921,0.691
wav2vec2-base-960h,india,snr10,0.732,0.422
wav2vec2-base-960h,us,clean,0.19,0.122
wav2vec2-base-960h,us,snr0,0.96,0.677
wav2vec2-base-960h,us,snr10,0.406,0.246
whisper-base,german,clean,0.154,0.078
whisper-base,german,snr0,0.667,0.457
whisper-base,german,snr10,0.371,0.173
whisper-base,india,clean,0.201,0.117
whisper-base,india,snr0,0.679,0.52
whisper-base,india,snr10,0.535,0.304
whisper-base,us,clean,0.107,0.062
whisper-base,us,snr0,0.347,0.291
whisper-base,us,snr10,0.113,0.06
